mx,my,mz
2.1000001430511475,39.0,-8.700000762939453
2.1000001430511475,39.0,-7.800000190734863
2.1000001430511475,39.0,-7.800000190734863
2.1000001430511475,38.70000076293945,-8.100000381469727
2.1000001430511475,39.30000305175781,-8.40000057220459
2.1000001430511475,38.70000076293945,-8.100000381469727
2.1000001430511475,39.0,-9.0
2.1000001430511475,39.0,-8.100000381469727
1.8000000715255737,39.0,-8.100000381469727
2.1000001430511475,38.70000076293945,-8.100000381469727
2.1000001430511475,39.0,-8.40000057220459
2.4000000953674316,39.0,-8.100000381469727
2.1000001430511475,39.0,-8.100000381469727
2.1000001430511475,39.0,-8.100000381469727
2.1000001430511475,38.400001525878906,-8.40000057220459
2.1000001430511475,39.30000305175781,-9.0
2.1000001430511475,39.0,-9.0
2.1000001430511475,39.0,-8.40000057220459
2.4000000953674316,39.0,-7.200000286102295
2.1000001430511475,39.0,-8.100000381469727
2.1000001430511475,39.0,-7.800000190734863
2.1000001430511475,39.0,-9.300000190734863
2.1000001430511475,39.0,-8.100000381469727
2.1000001430511475,39.0,-8.40000057220459
1.8000000715255737,39.0,-8.40000057220459
2.1000001430511475,39.0,-8.100000381469727
2.1000001430511475,39.0,-8.100000381469727
2.1000001430511475,39.0,-8.100000381469727
1.8000000715255737,38.70000076293945,-8.100000381469727
2.1000001430511475,39.0,-8.100000381469727
2.1000001430511475,38.70000076293945,-8.100000381469727
1.8000000715255737,39.0,-7.800000190734863
2.1000001430511475,39.0,-8.700000762939453
2.1000001430511475,39.30000305175781,-8.100000381469727
2.1000001430511475,39.0,-8.100000381469727
2.1000001430511475,39.0,-9.0
2.1000001430511475,39.0,-8.700000762939453
2.4000000953674316,39.30000305175781,-8.700000762939453
2.4000000953674316,39.0,-8.700000762939453
2.4000000953674316,39.0,-9.0
2.1000001430511475,39.0,-8.40000057220459
2.1000001430511475,39.0,-8.100000381469727
2.1000001430511475,39.0,-8.100000381469727
2.1000001430511475,39.30000305175781,-8.700000762939453
2.4000000953674316,39.30000305175781,-8.700000762939453
2.4000000953674316,39.30000305175781,-8.40000057220459
2.4000000953674316,39.30000305175781,-9.300000190734863
2.1000001430511475,39.30000305175781,-9.300000190734863
2.4000000953674316,39.30000305175781,-9.600000381469727
2.1000001430511475,39.60000228881836,-10.200000762939453
2.1000001430511475,39.60000228881836,-9.600000381469727
1.8000000715255737,39.60000228881836,-10.200000762939453
1.5,39.900001525878906,-11.100000381469727
1.5,40.5,-12.90000057220459
1.2000000476837158,41.10000228881836,-15.300000190734863
0.6000000238418579,39.900001525878906,-11.700000762939453
-3.6000001430511475,39.30000305175781,-9.300000190734863
-6.0,39.0,-10.200000762939453
-7.200000286102295,39.30000305175781,-11.100000381469727
-6.900000095367432,39.30000305175781,-10.5
-6.600000381469727,39.0,-10.200000762939453
-7.500000476837158,38.70000076293945,-8.40000057220459
-8.100000381469727,38.70000076293945,-8.100000381469727
-8.100000381469727,38.70000076293945,-10.5
-10.800000190734863,37.5,-10.5
-14.40000057220459,36.900001525878906,-10.800000190734863
-17.700000762939453,36.0,-10.800000190734863
-19.200000762939453,35.70000076293945,-12.300000190734863
-20.700000762939453,35.10000228881836,-13.500000953674316
-22.200000762939453,34.5,-14.100000381469727
-24.30000114440918,33.30000305175781,-15.90000057220459
-26.700000762939453,33.30000305175781,-16.5
-27.30000114440918,32.70000076293945,-21.0
-29.100000381469727,32.400001525878906,-18.900001525878906
-29.700000762939453,32.10000228881836,-18.30000114440918
-29.700000762939453,32.10000228881836,-18.900001525878906
-29.700000762939453,32.10000228881836,-19.200000762939453
-29.700000762939453,32.10000228881836,-18.900001525878906
-29.100000381469727,32.70000076293945,-18.600000381469727
-28.500001907348633,32.400001525878906,-18.0
-28.80000114440918,32.70000076293945,-19.80000114440918
-28.80000114440918,33.30000305175781,-19.80000114440918
-28.200000762939453,34.80000305175781,-19.200000762939453
-25.200000762939453,35.70000076293945,-19.200000762939453
-23.400001525878906,35.400001525878906,-18.30000114440918
-24.0,35.400001525878906,-18.30000114440918
-24.30000114440918,35.10000228881836,-17.100000381469727
-24.0,35.400001525878906,-17.400001525878906
-23.700000762939453,35.400001525878906,-16.80000114440918
-23.400001525878906,35.10000228881836,-17.400001525878906
-24.0,34.80000305175781,-18.30000114440918
-24.600000381469727,35.400001525878906,-17.700000762939453
-23.700000762939453,35.400001525878906,-20.400001525878906
-23.700000762939453,35.400001525878906,-25.200000762939453
-23.100000381469727,36.0,-29.700000762939453
-20.400001525878906,36.0,-32.400001525878906
-17.400001525878906,36.60000228881836,-34.5
-14.100000381469727,36.900001525878906,-35.70000076293945
-10.200000762939453,37.20000076293945,-35.400001525878906
-7.200000286102295,38.10000228881836,-33.60000228881836
-4.5,38.10000228881836,-33.30000305175781
-4.5,37.80000305175781,-33.900001525878906
-4.5,36.900001525878906,-35.70000076293945
