mx_cal,my_cal,mz_cal
136.43353723331643,967.5053103218104,261.6012595458885
135.86520708169462,968.9839561363025,285.1515252082837
135.86520708169462,968.9839561363025,285.1515252082837
136.07505505442768,961.0613602139565,276.8085562828164
136.2236890011249,975.4280007180955,269.94423473866976
136.07505505442768,961.0613602139565,276.8085562828164
136.62298001496646,967.0124299504749,253.7511959465004
136.05465046556856,968.4910741981384,277.301436654152
128.5139380415574,968.5114788437542,277.4908799627479
136.07505505442768,961.0613602139565,276.8085562828164
136.2440938494425,967.9981922599744,269.45134810002025
143.59535989317058,968.4706695606309,277.111993420834
136.05465046556856,968.4910741981384,277.301436654152
136.05465046556856,968.4910741981384,277.301436654152
136.28490302716077,953.1387642916104,268.4655873573492
136.60257516664888,974.442238408596,254.2440825851499
136.62298001496646,967.0124299504749,253.7511959465004
136.2440938494425,967.9981922599744,269.45134810002025
143.02703004266073,969.9493145917087,300.6622466058574
136.05465046556856,968.4910741981384,277.301436654152
135.86520708169462,968.9839561363025,285.1515252082837
136.8124233988404,966.5195480123109,245.9011073923687
136.05465046556856,968.4910741981384,277.301436654152
136.2440938494425,967.9981922599744,269.45134810002025
128.70338142543133,968.0185969055901,269.6407914086162
136.05465046556856,968.4910741981384,277.301436654152
136.05465046556856,968.4910741981384,277.301436654152
136.05465046556856,968.4910741981384,277.301436654152
128.53434263041652,961.0817648595721,276.9979995914124
136.05465046556856,968.4910741981384,277.301436654152
136.07505505442768,961.0613602139565,276.8085562828164
128.32449465768346,969.0043607819182,285.3409685168796
136.43353723331643,967.5053103218104,261.6012595458885
136.03424561725097,975.9208826562596,277.79432329280144
136.05465046556856,968.4910741981384,277.301436654152
136.62298001496646,967.0124299504749,253.7511959465004
136.43353723331643,967.5053103218104,261.6012595458885
143.95384181260087,974.9147141424239,261.90470295122003
143.97424666091845,967.4849056843028,261.4118163125706
144.16368944256848,966.9920253129674,253.56175271318244
136.2440938494425,967.9981922599744,269.45134810002025
136.05465046556856,968.4910741981384,277.301436654152
136.05465046556856,968.4910741981384,277.301436654152
136.41313238499885,974.9351187799315,262.09414618453803
143.95384181260087,974.9147141424239,261.90470295122003
143.76439842872693,975.407596080588,269.75479150535176
144.33272797812484,973.9289518329244,246.2045507977002
136.7920185505228,973.949356470432,246.39399403101817
144.52217136199877,973.4360698947604,238.3544622435685
137.3399441132855,979.900424640122,223.33660873995854
136.96105734553763,980.88618851645,239.03678584822197
129.79923168927434,979.9208292857376,223.52605204855448
122.80644422580193,985.8923036678717,200.6581350208344
123.90229474910336,997.7944415740802,154.54338939345874
117.83632175086832,1008.7313162822356,92.91794111319513
100.5631997143346,984.9677537121746,185.52628768780284
-6.481490538007015,974.337044664157,249.9934162168393
-66.218436951702,965.5918275078208,227.46580993289433
-95.8333619466664,971.6246103007409,205.16622909827603
-88.67153329399392,972.5899695233452,220.67696282266553
-81.29986779254274,965.6326368152683,227.8446967006422
-105.0382571803277,961.2214268219808,275.02065254986326
-120.30911941940563,961.75511803516,283.2496275706309
-118.79357355286196,957.8120656635048,220.4489690470643
-186.57834577920335,928.2767570066221,220.18243054482585
-276.8366303201086,913.1693028150497,213.6199006500625
-359.7232379761499,891.1045174497966,214.22512928690747
-396.45917020097335,881.3124185453771,175.4290474168027
-433.3641406185876,864.583486028111,143.9901487747505
-470.64799814671534,848.8402244800626,128.25144592839143
-522.2147040619282,816.3069109923803,80.50552115789623
-582.1614933172202,815.4843857829416,66.32091487092005
-594.3604657694468,793.272448276111,-52.037218819062126
-640.9104076410089,789.4153309512049,3.557104923089413
-656.3503206607384,783.0121901507983,19.14328842776521
-655.9714338929905,782.0264262744703,3.4431113195017686
-655.7819911113404,781.5335459031347,-4.406952279886365
-655.9714338929905,782.0264262744703,3.4431113195017686
-641.1202562159659,797.3379284403794,11.900098803300265
-626.3973554965609,790.8531691548071,26.728509976928116
-632.8217912313231,795.3459960988644,-19.689698194876645
-632.8626006684998,810.2055185411674,-18.70393118489162
-618.2620797991611,848.2991375048971,-0.9182327203844346
-542.9161873040819,870.384233049935,-1.3340242406694038
-498.21986768464535,864.3107355208033,20.586676996850837
-513.3012505829391,864.3515446985216,20.965562560150882
-521.5793589212695,858.913763185584,52.06248039144009
-513.869580132337,865.8301889461852,44.515803267802454
-506.707775450938,866.795548233654,60.02653759441586
-498.7677926451841,858.3596657842849,43.64403733316688
-513.2604414052208,849.4921167301575,19.97980181747982
-528.7615681915278,865.3781178822971,37.04462643616219
-504.4344560488986,860.8809681093428,-34.174475145677604
-501.4033643158112,852.9948633660324,-159.77579219281077
-483.5210937012514,860.4202576549742,-276.9201716656326
-413.949736978647,855.8006800894066,-349.27593234626823
-337.25733827372113,867.0059872575387,-405.13514298526604
-253.5721236737339,872.239722362968,-438.1264934508468
-155.75274249259874,879.8970564146707,-432.2463116638126
-81.54349737013686,904.9395348965425,-385.5616158025924
-13.86653732491378,905.2487734816613,-379.4165417547339
-13.467247172754591,896.8332987548081,-395.60954932484566
-12.269374047922941,871.5867738329958,-444.18867812146937
-12.269374047922941,871.5867738329958,-444.18867812146937
45.153444388238235,901.1059975151788,-326.47432330950346
203.8502379901557,919.386596524536,-32.338909776221804
352.82746181551454,896.7826510963079,-271.93372579729447
294.04351504627664,951.9478532059198,-337.1258958556566
-171.12561534757012,917.5794104234383,-421.55295377490893
-94.35159802774926,899.0657671809034,-479.3836921665628
-140.79373944437123,924.4346254862545,-429.66790993623334
-133.21221484623257,909.5547928641666,-430.84311406277834
-133.23261943509172,916.9845068483487,-430.35023369144284
-133.0431766534417,916.4916264770131,-438.200297290831
-125.48205664416218,909.0415078391073,-438.8826210460404
-132.62347950352768,900.646431498664,-454.8862850512526
-139.785309360648,899.6810754097166,-470.39696886615496
-162.21798886898563,899.2494089346878,-477.6787029161452
-170.32703263435607,900.7484547024181,-453.93906873410685
-200.30042756311403,900.337192881113,-461.03135940022315
-222.84095520948017,870.679456431617,-462.4345570012574
-298.1460382673828,833.7348384442761,-463.00453249095744
-403.8850204322384,827.0836697889682,-452.9951436953415
-419.38614842299313,842.9696740747648,-435.9302691671719
-406.55183022788395,907.7884622079705,-346.01520119838943
-330.97568577343634,914.5212494133087,-355.2668170607336
-316.0632931253865,907.5436064930147,-348.2885206004289
-315.26471015271403,890.7125562980556,-380.6746418269408
-322.8054495444079,890.7329610166439,-380.48519784084294
-336.9192594792437,880.8796482159177,-419.84960926034563
-297.65932853732767,861.9751477409367,-484.5831955364658
-236.3252227733301,837.0582660903991,-526.827806600245
-214.31221429419574,853.3352156855377,-502.8601789437174
-208.199626366871,893.9136505606397,-445.6345693699341
-120.63437933807309,930.7808720855946,-328.18516314614965
111.63252736723109,926.6616696899359,-271.75007674757
192.4760660480983,939.2886292403128,-186.9901730879038
273.9287464524909,935.5775165665541,-126.76627095383824
296.36143674201736,936.0091861428076,-119.4844872954728
299.07485667838216,906.8197001896222,-230.86431825783632
346.3155810676766,864.6197916893119,-312.96622171467766
407.08135728227626,841.181554286438,-331.66059207080536
467.1972080994087,848.9409146106871,-324.8331446593621
459.6564926789884,848.9613192644108,-324.6437012754882
437.43366174560776,840.6070553002074,-340.26842920568924
452.1565864362863,834.1222959497705,-325.4400186342853
482.5904867476871,803.8288434840805,-336.01943282908854
497.90216954789616,788.4357258369333,-345.2341439388956
528.1058166954808,773.4945848445999,-346.97768388215246
535.7485792909289,736.3255157311622,-349.63153599224194
589.4341213667484,682.203015996851,-385.80816408953433
651.9457433498071,639.469417752893,-476.13901851573564
644.4720188174207,683.5753677161465,-480.8423465000418
591.3547595529001,736.2192201988665,-468.2160078154403
500.5747805660011,774.1055733781731,-455.628220425902
455.4995499480848,781.1649293224364,-461.84873768562096
426.2839285548226,778.7821397484752,-500.3413825682641
420.7600736910362,729.2953025382147,-581.6100664452043
394.2382628044789,916.5419426735974,-427.9111355349314
-1.9794483775765226,972.5318784310087,-250.25101202675123
-55.880676077993385,968.20228855458,-202.31725828951474
-123.09714272621038,937.1883357148985,-226.13403689718086
-288.6138753513432,936.6514738961698,-237.66646257133723
-313.7491654906182,886.7695070600573,-443.4752504410202
-298.66775862105095,886.7286978174744,-443.85413660654416
-268.71476854061046,894.5697680969006,-436.2689593017784
-284.1546561251602,888.1665296240335,-420.6828325761277
-299.3847205699327,873.8407913344524,-413.4396429516627
-350.7823646638467,848.2442184876417,-468.5427328650048
-365.6539481341782,840.3624334395716,-476.5067900679806
-373.78342045968134,849.2911932563486,-452.2742749123828
-365.37708336573667,876.5253308244357,-489.74260896173956
-282.86936368189106,899.575883199674,-474.6476105808339
-222.3950546571434,913.7791936966418,-483.02745930409463
-81.45607779224096,941.5953189200561,-390.94727127798893
39.00585423901449,941.7617250264055,-386.1283000139121
0.7339703543403873,943.3423956114802,-361.63079307962755
-37.578721503604164,959.782491031262,-336.1475753121592
-46.4455400089182,963.2530676853055,-281.0075370041068
-5.369023494000461,973.9740362001221,-109.44234833320299
23.86700848093927,968.927111773685,-71.44258397245132
39.34771869275029,960.4708246381599,-88.01452791868621
128.04384037189197,928.0061207925543,-14.25141966233127
285.343727831725,900.8159614084741,26.89922534785873
382.25092307503354,829.7035458172444,74.45826619288415
516.7800300674497,788.2080543641351,123.04156916615662
586.520472925392,790.5253102816848,43.32862405302058
